order_year,order_month,total_revenue,total_volume
2017,1,138488.04006415606,800
2017,2,291908.00950714946,1780
2017,3,449863.5995282233,2682
2017,4,417788.02949872613,2404
2017,5,592918.8201363329,3700
2017,6,511276.38032871485,3245
2017,7,592382.9194870591,4026
2017,8,674396.319929732,4331
2017,9,727762.4504067749,4285
2017,10,779677.8797355182,4631
2017,11,1194882.7997162547,7544
2017,12,878401.4798712283,5673
2018,1,1115004.179163769,7269
2018,2,992463.3401646316,6728
2018,3,1159652.1196559817,7211
2018,4,1160785.480685437,6939
2018,5,1153982.1510876399,6873
2018,6,1023880.50073741,6167
2018,7,1066540.7488443647,6292
2018,8,1022425.321382761,6512
2018,9,4439.540130615234,16
2018,10,589.6699981689453,4
